# BPMIOC Sample RF Data
# Format: timestamp(s), ch0_amp, ch0_phase, ch1_amp, ch1_phase, ..., ch7_amp, ch7_phase
# Generated sample data for testing
#
0.000, 4.033, 3.6, 4.734, 30.9, 5.043, 62.1, 4.743, 87.3, 3.999, 87.1, 3.305, 80.8, 3.040, 64.5, 3.306, 32.0
0.100, 4.299, 3.3, 4.913, 38.2, 4.912, 69.3, 4.471, 83.0, 3.723, 87.8, 3.121, 78.1, 3.066, 58.0, 3.525, 24.4
0.200, 4.560, 12.1, 5.007, 46.3, 4.852, 71.7, 4.117, 86.0, 3.391, 91.6, 2.983, 75.1, 3.225, 53.9, 3.892, 21.1
0.300, 4.774, 18.9, 4.951, 47.0, 4.629, 77.4, 3.850, 90.4, 3.203, 90.4, 3.058, 78.3, 3.367, 48.1, 4.190, 16.0
0.400, 4.937, 17.9, 4.887, 51.9, 4.272, 78.2, 3.520, 93.6, 3.081, 86.7, 3.073, 73.7, 3.675, 47.2, 4.447, 12.7
0.500, 5.037, 23.6, 4.733, 61.3, 4.038, 83.6, 3.246, 89.8, 3.004, 90.5, 3.275, 69.4, 4.026, 42.7, 4.696, 3.3
0.600, 4.927, 36.7, 4.498, 61.5, 3.736, 84.6, 3.093, 92.8, 3.066, 78.8, 3.593, 59.8, 4.276, 39.9, 4.893, 2.0
0.700, 4.760, 41.3, 4.192, 65.7, 3.427, 88.6, 3.006, 86.8, 3.181, 79.3, 3.825, 57.3, 4.635, 32.6, 5.019, -1.7
0.800, 4.547, 41.1, 3.861, 70.8, 3.238, 86.7, 3.048, 91.0, 3.368, 82.2, 4.125, 53.7, 4.787, 27.2, 4.970, -12.0
0.900, 4.262, 45.1, 3.566, 75.4, 3.007, 84.3, 3.099, 88.6, 3.737, 73.3, 4.422, 51.3, 4.947, 19.7, 4.862, -15.0
1.000, 4.029, 56.7, 3.307, 74.5, 2.991, 88.9, 3.336, 82.5, 3.984, 74.2, 4.681, 43.4, 5.037, 14.7, 4.700, -16.9
1.100, 3.668, 58.9, 3.118, 78.1, 3.031, 89.7, 3.533, 83.8, 4.334, 65.0, 4.915, 39.2, 4.959, 13.0, 4.433, -27.8
1.200, 3.397, 65.9, 2.980, 79.8, 3.184, 86.1, 3.822, 82.1, 4.614, 61.0, 4.981, 38.3, 4.772, 1.6, 4.112, -32.8
1.300, 3.145, 62.4, 2.990, 88.0, 3.431, 86.7, 4.123, 86.6, 4.783, 60.9, 5.008, 35.1, 4.628, 2.1, 3.866, -39.5
1.400, 3.043, 73.3, 3.064, 84.9, 3.695, 93.2, 4.473, 82.7, 4.943, 58.8, 4.938, 22.2, 4.314, -13.1, 3.544, -46.0
